mal_id,title,source,episodes,synopsis,year,season,producers,genres,studios,demographics,themes,rating,sequel,favorites,score,wc,dropped,forum,type
3137,Tsurikichi Sanpei,Manga,109.0,"Mihira Sanpei talks with a Tohou accent and is a down-to-earth boy with a cheerful and optimistic personality. However, when it comes to fishing, he becomes very serious and is a youth who enjoys fishing more than anything else. The village where he lives in is a natural environment which provides different kinds of fishing challenges. Despite his lack of experience, Sanpei has a first-rate sense with regards to fishing and decides to maxmise his potential by entering into different fishing contests. As he faces various challenges, he learns to solve difficult problems and learn from his mistakes to the extent that he is able to fish anything out of the waters. Along the way, he encounters all kinds of rivals and companions who increase his experience points and help him in his growth.

(Source: ANN)",1980.0,spring,[],"['Adventure', 'Sports']",['Nippon Animation'],['Shounen'],[],G - All Ages,False,19,7.15,3278,469,9,
3146,GR: Giant Robo,Manga,13.0,"The year is 20XX. Mysterious huge robots called ""Giant Robo (GR)"" started to appear all over the world and destroy cities. The earth was covered with fear. And their next target is Japan! The hero of this animation Daisaku Kusama, who works in a diving shop, encounters a mysterious girl, simply called V who leads him to make a contract with an enormous robot ""Giant Robo 1 (GR1)"" at the ancient ruins (Minami Yonaguni Island) in Okinawa. 

He made a contract with UNISOM (good guys) and was approved to be a commander of GR1. Thus his battle has begun against GRO (bad guys) and creates a lot of dramas. Before long, Giant Robo of the 21st century will ask the world the true meaning of its power. 

(Source: AniDB)",2007.0,winter,"['OB Planning', 'Soft Garage', ""U's Music""]","['Adventure', 'Sci-Fi']",['A.C.G.T.'],['Shounen'],"['Mecha', 'Military']",PG-13 - Teens 13 or older,False,6,6.3,1557,251,0,
3151,Genei Toushi Bastof Lemon,Unknown,26.0,"The story takes place in the year 2097 and in the city of Xenon. An ultimate cyber game, where players fight as bio-mechanical cyber robots, has been developed. However, there's something wrong. The game's cyberspace and the real world are linked. The damage that occurs in the game's cyberspace creates destruction in the city of Xenon. This all started when players heard a painful scream, saw a ghostly face, and a powerful scent of lemon overcame them. To solve this mystery, the creator of the game assembles a ""Dream Team,"" which is the top three gamers in all of Xenon. The team is composed of rebellious and arrogant teens, who, have to overcome their attitudes and fears to find the answers, answers to the mystery that are much bigger than just the game.

(Source: Wikipedia)",2001.0,spring,[],"['Adventure', 'Sci-Fi']",['Dongwoo A&E'],[],['Mecha'],PG-13 - Teens 13 or older,False,3,6.04,649,229,0,
3159,The Kabocha Wine,Manga,95.0,"Transfer student, Aoba Shunsuke, arrived at Sunshine School only to find the premises empty. He was secretly gleeful to be the first to reach the school, oblivious to the fact that it was Foundation Day and a rest day for the institution. At that moment, a big-sized ""L""(Eru) beauty by the name of Natsumi appeared before him and the two of them hit off together even though Shunsuke was so much smaller than her. Shunsuke's mother runs a women's apparel busines but the shop is in need of manpower. 

Shunsuke offers to help out at the shop but fumbles a lot because he does not know how to interact with the ladies. Eru decides to step in and help out around the shop and this pleases Shunsuke's mother. This is a romance story that shares the joys and woes of the ""SL"" combi between Shunsuke and Eru.

(Source: ANN)",1982.0,summer,[],"['Comedy', 'Romance']",['Toei Animation'],['Shounen'],['School'],PG-13 - Teens 13 or older,False,22,6.98,1368,369,0,
3162,Makiba no Shoujo Katri,Novel,49.0,"This series tells the story of 9 year-old Katri, a  girl who lives on a farm in Finland with her grandparents. Katri's mother has been away in Germany for three years.  The farm is not doing well, so to help support her family, she goes to work on a neighboring farm. Katri faces many struggles and challenges.",1984.0,winter,[],"['Adventure', 'Drama']",['Nippon Animation'],[],['Historical'],G - All Ages,False,20,7.11,2304,292,13,
3164,Ichigo Ichie: Koibana Tomobana,Unknown,13.0,"Ichigo Ichie is based on a series of stationery. The stationery, by a company called Mind Wave, focuses on the friendship of two young girls.

(Source: TokyoPop)",2007.0,fall,['Four Some'],['Comedy'],[],[],['School'],G - All Ages,False,0,6.28,312,110,0,
3166,Ayakashi,Visual novel,12.0,"As a child, Yuu Kusaka made a vow upon a shooting star that he would stand on the side of justice and defend the weak. However, the death of one of his friends robs him of the desire to live up to that vow, and he turns a blind eye to the misery of others, using the mysterious power he possesses as a means of making money instead of helping those in need. His days of living only for himself continue, until he's forced to fight for his life against another classmate with powers similar to his. He's saved by a mysterious girl named Eimu Yoake, who also has strange powers.

Eimu reveals that his powers stem from a creature known as an Ayakashi, a parasitic being that grants the user special abilities at the price of slowly draining the life of the host. She helps him fully awaken his own. Now aware of the ayakashi he possesses, Yuu must live up to his childhood vow, putting his ayakashi to use and fend off those who would use their own for evil, all while unraveling the mystery behind the death of his friend.",2008.0,winter,"['Media Factory', 'AT-X', 'Enoki Films', '5pb.']","['Action', 'Fantasy', 'Horror', 'Sci-Fi']",['Tokyo Kids'],[],"['Gore', 'Super Power']",R - 17+ (violence & profanity),False,25,6.31,17912,1987,179,
3176,Nessa no Haou Gandalla,Original,26.0,A dispute between young band members and an unfortunate choice of melody inadverdently draws them all into the demonic horror known as  the desert-god Gandalla.,1998.0,spring,['Big West'],"['Adventure', 'Drama', 'Fantasy', 'Horror', 'Sci-Fi']",['Ashi Productions'],[],['Music'],PG-13 - Teens 13 or older,False,5,5.71,616,157,0,
3180,Manga Aesop Monogatari (TV),Unknown,52.0,"Aesop is a trouble-making young boy who finds himself in another world filled with creatures he never believed to exist, such as fairies and talking donkeys. He sets off to find a way back to the nomal world. On his jouney he befriends many classical creatures from well-known fables and encounters many trials, each teaching him a valuable lesson.",1983.0,fall,[],"['Comedy', 'Fantasy']",['Nippon Animation'],['Kids'],[],G - All Ages,False,1,6.06,330,123,0,
3182,Massugu ni Ikou. 2nd Season,Manga,5.0,"Mametarou is a Crossbreed and this is about his daily activities and the friends he makes with his girlfriend, Hanako.",2004.0,spring,['Yomiuri Telecasting'],['Slice of Life'],['Yumeta Company'],['Josei'],['Pets'],PG - Children,True,3,6.6,1344,127,18,
